dish_id,dish_name,dish_type,servings,calories,protein,fat,carbs,description
30,回鍋肉,main,1,512,26.8,23.4,36.2,豚こまとキャベツとピーマンを豆板醤入りの甘辛味噌ダレで炒めた中華の主菜
31,釜玉うとん,main,1,372,15.1,6.8,59.7,温かいうどんに卵を絡めてめんつゆで食べるシンプルな主食
32,青椒肉絲風,main,1,487,27.4,21.8,35.2,豚こまとピーマンと玉ねぎを甘辛味で炒めたご飯に合う主菜
33,チキン南蛮風,main,1,548,33.8,28.6,29.4,鶏もも肉を甘酢ダレで焼きタルタルソースをかけたご飯に合う主菜
34,かきたまスープ,soup,1,68,4.2,4.1,2.1,卵をふんわり流し入れた中華風スープ
35,豚バラ丼,main,1,612,18.9,31.7,58.4,豚バラと玉ねぎを甘辛ダレで炒めてご飯にのせた丼
36,ジャーマンポテト,main,1,468,14.2,18.6,58.1,じゃがいもと玉ねぎとベーコンを炒めたドイツ風の主菜
37,豚バラねぎうどん,main,1,598,18.7,24.1,68.2,豚バラと長ネギをめんつゆで煮てうどんにのせた主食
38,鶏ももともやしの塩だれ炒め,main,1,315,28.6,15.4,9.8,鶏ももともやしを塩だれで炒めた主菜
39,ベーコンポテトスープ,soup,1,168,5.8,7.2,18.4,じゃがいもとベーコンをコンソメで煮込んだスープ
40,豚しゃぶともやしの大根おろし定食,main,1,615,24.8,22.6,63.5,豚しゃぶともやしを大根おろしのたれでさっぱり仕上げた主菜
41,オムライス,main ,1,770,45,30,77,鶏もも肉入りのケチャップライスをふんわり卵で包んだ洋食の定番
42,コンソメスープ,soup,1,170,8,12,7,ベーコンと玉ねぎの旨味が溶け込んだシンプルなコンソメスープ
43,豚バラとピーマンの味噌炒め,main,1,585,22.5,42,25,豚バラ肉とピーマンと玉ねぎを甘辛い味噌だれで炒めたご飯が進む定番おかず
44,ベーコンエッグ,main,1,363,24,28,2,カリッと焼いたベーコンと半熟目玉焼きのシンプルな定番おかず
45,豚バラ野菜炒め,main,1,445,23.8,28.5,19.4,豚バラともやし、にんじん、ピーマンを炒めた、ご飯が進む定番の野菜炒め
46,冷しゃぶサラダうどん,main,1,592,28.4,22.8,60.2,冷たいうどんに豚しゃぶときゅうり、長ねぎ、ミニトマトをのせ、大根おろしのたれでさっぱり仕上げた夏にぴったりの一品
47,冷奴,side,1,96,8.3,5,3.2,豆腐をそのまま味わう定番の冷たい副菜
48,たたききゅうりの旨だれ漬け,side,2,135,3.1,8.4,13.6,たたいたきゅうりを旨だれに漬け込んだ、さっぱり食べられる副菜
49,鶏そぼろ丼,main,1,567,34.2,18.7,63.1,甘辛く炒めた鶏そぼろとふんわり炒り卵をご飯にのせた定番の丼料理
50,ねぎ塩焼きうどん,main,1,602,28.6,24.1,58.4,豚バラと長ねぎを香ばしく炒め、塩味で仕上げたさっぱり食べられる焼きうどん
51,ガーリック豚丼,main,1,648,28.9,31.5,62.4,にんにくが香る甘辛い豚バラと玉ねぎをご飯にのせた食欲をそそる丼料理
52,無限ピーマン,side,1,52,1.6,4.1,3.2,ピーマンをごま油と鶏ガラスープの素でシンプルに炒めた副菜
53,ソース焼きそば,main,2,798,35.2,31.6,91.8,鶏もも肉とたっぷりの野菜をソースで炒め、目玉焼きをのせたボリューム満点の焼きそば
54,鶏回鍋肉丼,main,1,650,36,20,78,鶏肉とたっぷりのキャベツと玉ねぎを甘辛い味噌だれで炒め、ご飯にのせた食べ応えのある丼
55,冷やし肉味噌麺,main,1,610,35,25,62,冷水で締めた中華麺に甘辛い肉味噌と卵をのせた、暑い日にも食べやすい冷たい麺料理
56,キャベツ玉ねぎチャーハン,main,1,420,10.5,12.5,66,キャベツと玉ねぎを卵と一緒に香ばしく炒めた野菜チャーハン
57,じゃがいもベーコンのペッパー炒め,side,1,220,6,12,24,じゃがいもとベーコンを香ばしく炒め黒こしょうを効かせた副菜
58,豚こま焼肉丼,main,1,570,30,19,69,豚こま切れ肉と玉ねぎを焼肉のたれで香ばしく炒めご飯にのせた王道の焼肉丼
59,やみつき塩キャベツ,side,1,65,1.5,4.5,6,生のキャベツをごま油と鶏ガラスープの素で和えたさっぱり副菜
60,ナポリタン,main,1,560,18,18,80,ベーコンと玉ねぎとピーマンをケチャップで香ばしく炒めた王道のナポリタン
61,コールスロー,side,1,95,1.5,6.5,10,キャベツをマヨネーズと酢でさっぱり仕上げた定番の洋風副菜
62,コンソメスープ,soup,1,20,0.5,0.2,4,コンソメと黒こしょうでシンプルに仕上げた洋風スープ
63,冷やし鶏たまぶっかけうどん,main,1,520,35,18,55,冷たいうどんに香ばしく焼いた鶏もも肉と半熟卵とミニトマトをのせ、しょうがを効かせたさっぱりぶっかけうどん
64,にんにく鶏ガラ焼きキャベツ,side,1,70,2,4.5,7,キャベツを香ばしく焼き、にんにくと鶏ガラスープの素で味付けした簡単副菜
65,ベーコンキムチチャーハン,main,1,510,17,19,66,ベーコンとキムチとピーマンを卵と一緒に香ばしく炒め、ごま油を効かせたキムチチャーハン
66,きゅうりのさっぱり中華和え,side,1,55,1,2.5,7,きゅうりを酢と醤油とごま油でさっぱり仕上げた中華風副菜
67,もやしの中華スープ,soup,1,55,3,2,6,たっぷりのもやしを鶏ガラスープでさっと煮たシンプルな中華スープ
68,肉豆腐丼,main,1,880,51,39,75,豚こまと豆腐を甘辛く煮てご飯にたっぷりのせた肉豆腐丼
69,ぐるぐるきゅうり,side,1,190,3,12.5,17,蛇腹切りのきゅうりをめんつゆと酢とごま油のさっぱりだれに漬けた副菜
70,卵のすまし汁,soup,1,95,7,5.5,4,ふんわり卵を浮かべたあっさり和風のすまし汁
71,デミ風ハンバーグ,main,1,360,22,24,14,牛豚合い挽き肉に炒め玉ねぎとパン粉を加えてふっくら焼きデミ風ソースをかけた王道ハンバーグ
72,バターポテト,side,1,130,2,5,20,じゃがいもをバターで香ばしく焼き塩と黒こしょうで仕上げた付け合わせ
