set_id,set_name,description,category,total_calories,total_protein,total_fat,total_carbs,image_path
19,回鍋肉定食,回鍋肉と豆腐と油揚げの味噌汁と白米を組み合わせた定食,ごはん,823,34.5,31.5,96.7,images/sets/19.jpg
20,釜玉うどん定食,釜玉うどんときゅうりハムのマヨ味噌ディップを組み合わせた定食,麺,602,23.7,21.3,73.5,images/sets/20.jpg
21,青椒肉絲風定食,青椒肉絲風と豆腐と油揚げの味噌汁と白米を組み合わせた定食,ごはん,798,36.1,29.9,95.2,images/sets/21.jpg
22,チキン南蛮風定食,チキン南蛮風とキャベツ千切りとかきたまスープと白米を組み合わせた定食,ごはん,866,42,33.7,91.5,images/sets/22.jpg
23,豚バラ丼定食,"豚バラ丼とキャベツのごま油塩とネギ中華スープを組み合わせた定食,普通",丼,706,21.8,37.5,65.9,images/sets/23.jpg
24,ジャーマンポテト定食,ジャーマンポテトとネギ中華スープと白米を組み合わせた定食,ごはん,750,19.3,21.2,97.4,images/sets/24.jpg
25,豚バラねぎうどんセット,豚バラねぎうどんときゅうりハムのマヨ味噌ディップを組み合わせたセット,麺,742,25.4,31.8,82.6,images/sets/25.jpg
26,鶏ももともやしの塩だれ炒め定食,鶏ももともやしの塩だれ炒めとベーコンポテトスープと白米を組み合わせた定食,ごはん,711,37.2,23.6,87.9,images/sets/26.jpg
27,豚しゃぶともやしの大根おろし定食,豚しゃぶともやしの大根おろしとネギ豆腐味噌汁と白米の定食,ごはん,887,32.5,23.8,92.7,images/sets/27.jpg
28,オムライス定食,鶏もも肉入りのオムライスに玉ねぎとベーコンのコンソメスープを合わせた洋食の夜ご飯,ごはん,940,53,42,84,images/sets/28.jpg
29,豚バラとピーマンの味噌炒め定食,甘辛い味噌だれで炒めた豚バラとピーマンに白米とネギ豆腐味噌汁を合わせた、ご飯が進む定番の夜ご飯,ごはん,931,52.6,46.3,94.7,images/sets/29.jpg
30,ベーコンエッグ定食,ベーコンエッグ・白米・ネギ豆腐味噌汁のシンプルな定食,ごはん,701,33,31,70,images/sets/30.jpg
31,豚バラ野菜炒め定食,豚バラ野菜炒め・白米・ネギ豆腐味噌汁を組み合わせた、野菜たっぷりで食べ応えのある定食,ごはん,779,32.9,31.8,91.5,images/sets/31.jpg
32,冷しゃぶサラダうどん定食,冷しゃぶサラダうどんと冷奴を組み合わせた、夏でもさっぱり食べられる麺定食,麺,688,36.7,27.8,93.2,images/sets/32.jpg
33,鶏そぼろ丼定食,甘辛い鶏そぼろ丼にたたききゅうりの旨だれ漬けとネギ豆腐味噌汁を合わせた、満足感のある定食,丼,798,39.6,28.1,93.2,images/sets/33.jpg
34,ねぎ塩焼きうどん定食,ねぎ塩焼きうどんとたたききゅうりの旨だれ漬けを組み合わせた、さっぱり食べられる麺定食,麺,737,31.7,32.5,72,images/sets/34.jpg
35,ガーリック豚丼定食,ガーリック豚丼に無限ピーマンとネギ豆腐味噌汁を合わせた、食欲をそそる定食,ごはん,830,38.5,39.8,81.4,images/sets/35.jpg
36,ソース焼きそば定食,ソース焼きそばにたたききゅうりの旨だれ漬けを合わせた、ボリューム満点の麺定食,麺,933,38.3,40,105.4,images/sets/36.jpg
37,鶏回鍋肉丼定食,甘辛い味噌だれの鶏回鍋肉丼にネギ豆腐味噌汁を合わせたボリュームのある丼定食,ごはん,730,41,23,85,images/sets/37.jpg
38,冷やし肉味噌麺定食,甘辛い肉味噌と半熟卵をのせた冷たい中華麺に、さっぱりしたグルグルきゅうりを合わせた麺定食,麺,745,38.1,33.4,75.6,images/sets/38.jpg
39,キャベツ玉ねぎチャーハン定食,野菜たっぷりのチャーハンにじゃがいもベーコンのペッパー炒めとネギ豆腐味噌汁を合わせた定食,ごはん,720,24,29.5,97,images/sets/39.jpg
40,豚こま焼肉丼定食,豚こま切れ肉と玉ねぎの焼肉丼にやみつき塩キャベツとかきたまスープを合わせた焼肉屋風の定食,ごはん,685,35,26.8,78,images/sets/40.jpg
41,ナポリタン定食,目玉焼きをのせた王道ナポリタンにコールスローとコンソメスープを合わせた洋食定食,麺,675,20,24.7,94,images/sets/41.jpg
42,冷やし鶏たまぶっかけうどん定食,香ばしい鶏もも肉と半熟卵とミニトマトをのせた冷やしぶっかけうどんに、にんにく鶏ガラ焼きキャベツを合わせたさっぱり麺定食,麺,590,37,22.5,62,images/sets/42.jpg
43,ベーコンキムチチャーハン定食,ベーコンとキムチの香ばしいチャーハンに、さっぱりきゅうりともやしの中華スープを合わせた中華定食,ごはん,620,21,23.5,79,images/sets/43.jpg
44,肉豆腐丼定食,甘辛い肉豆腐丼にぐるぐるきゅうりと卵のすまし汁を合わせた和風定食,丼,1165,61,57,96,images/sets/44.jpg
45,デミ風ハンバーグ定食,デミ風ハンバーグにバターポテトとミニトマトを添え白米とネギ豆腐味噌汁を合わせた王道ハンバーグ定食,ごはん,790,32,31,94,images/sets/45.jpg
